epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,128.212,0.13781,0.14813,0.77971,0.99391,0.98742,0.99175,0.98965,0.10539,0.13603,0.76948,7.71034e-05,7.71034e-05,7.71034e-05
49,130.525,0.13516,0.14241,0.79026,0.99383,0.98732,0.99215,0.98949,0.09968,0.13371,0.76898,5.51056e-05,5.51056e-05,5.51056e-05
50,132.87,0.12507,0.13144,0.77284,0.99395,0.98767,0.99215,0.98977,0.09797,0.1304,0.76893,3.31078e-05,3.31078e-05,3.31078e-05
1,5.87525,0.4497,1.45794,0.92015,0.82619,0.83594,0.92648,0.89249,0.30786,0.84132,0.81804,0.00026664,0.00026664,0.00026664
2,8.44467,0.40971,0.55654,0.87398,0.83217,0.74862,0.69693,0.64578,0.36822,1.46184,0.83078,0.000533611,0.000533611,0.000533611
3,10.87,0.44843,0.56872,0.89632,0.85911,0.85426,0.91095,0.83091,0.39969,0.66473,0.86247,0.000789583,0.000789583,0.000789583
4,13.22,0.43913,0.56151,0.88941,0.47906,0.5425,0.47316,0.38705,0.56258,2.9996,0.97401,0.00103456,0.00103456,0.00103456
5,15.4401,0.42561,0.66981,0.88981,0.82088,0.81516,0.91839,0.8341,0.44318,1.11525,0.88478,0.00102301,0.00102301,0.00102301
6,17.6721,0.43527,0.51324,0.8933,0.76632,0.70591,0.63405,0.58154,0.57239,2.64622,0.94989,0.00100101,0.00100101,0.00100101
7,19.9164,0.44236,0.49729,0.90421,0.92061,0.72379,0.8737,0.82117,0.37315,0.80641,0.84219,0.000979013,0.000979013,0.000979013
8,22.1722,0.38985,0.42522,0.87393,0.85294,0.9516,0.97498,0.94759,0.30654,0.55925,0.81579,0.000957015,0.000957015,0.000957015
9,24.4736,0.38153,0.42768,0.86362,0.94213,0.9431,0.96518,0.93516,0.3118,0.41863,0.81616,0.000935018,0.000935018,0.000935018
10,26.9477,0.39243,0.39564,0.87988,0.95462,0.95943,0.98214,0.95458,0.29294,0.3328,0.80866,0.00091302,0.00091302,0.00091302
11,29.4109,0.37117,0.35617,0.86404,0.96917,0.97453,0.98332,0.96219,0.25772,0.29231,0.79713,0.000891022,0.000891022,0.000891022
12,31.8772,0.36392,0.35375,0.86879,0.9734,0.95664,0.98651,0.97347,0.22881,0.24747,0.79267,0.000869024,0.000869024,0.000869024
13,34.2932,0.34661,0.33941,0.85423,0.97502,0.98227,0.99282,0.97561,0.24813,0.23185,0.79517,0.000847026,0.000847026,0.000847026
14,36.6991,0.32836,0.331,0.86095,0.82499,0.93251,0.96485,0.94905,0.24517,0.54857,0.79041,0.000825029,0.000825029,0.000825029
15,39.0662,0.3169,0.32194,0.85739,0.98168,0.95917,0.97828,0.96396,0.22987,0.26012,0.78936,0.000803031,0.000803031,0.000803031
16,41.3877,0.32067,0.3036,0.85259,0.98597,0.98009,0.99187,0.9806,0.21795,0.22939,0.7872,0.000781033,0.000781033,0.000781033
17,43.783,0.32069,0.32833,0.86325,0.98638,0.97957,0.99218,0.98529,0.1912,0.20589,0.78441,0.000759035,0.000759035,0.000759035
18,46.3668,0.33315,0.31038,0.85366,0.96884,0.97464,0.9892,0.97581,0.22004,0.23443,0.78554,0.000737037,0.000737037,0.000737037
19,48.6977,0.337,0.31238,0.85992,0.96964,0.98459,0.99061,0.98478,0.19604,0.21749,0.7839,0.00071504,0.00071504,0.00071504
20,51.0907,0.30316,0.29036,0.85007,0.98491,0.98741,0.99068,0.98514,0.20128,0.2061,0.78622,0.000693042,0.000693042,0.000693042
21,53.4382,0.29418,0.27854,0.85601,0.97916,0.98024,0.98931,0.98428,0.16845,0.21335,0.77859,0.000671044,0.000671044,0.000671044
22,55.838,0.28027,0.27465,0.8459,0.98173,0.98317,0.99407,0.98989,0.17833,0.19907,0.78028,0.000649046,0.000649046,0.000649046
23,58.2392,0.27255,0.25502,0.83608,0.97683,0.98247,0.99306,0.98718,0.179,0.19906,0.7791,0.000627048,0.000627048,0.000627048
